epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,698.305,1.14655,1.41184,0.87584,0.65867,0.57215,0.65883,0.45388,1.11301,1.22126,0.8793,0.000202247,0.000202247,0.000202247
72,720.383,1.12853,1.39726,0.87665,0.65496,0.58858,0.67603,0.49457,0.99855,1.21177,0.86072,0.000201379,0.000201379,0.000201379
73,734.693,1.14635,1.37833,0.87662,0.65887,0.58046,0.67513,0.509,0.94812,1.19225,0.84278,0.000200511,0.000200511,0.000200511
74,740.427,1.13467,1.36438,0.87901,0.63627,0.57143,0.65393,0.46466,1.07715,1.26178,0.87445,0.000199643,0.000199643,0.000199643
75,750.407,1.13052,1.37396,0.87378,0.70559,0.57176,0.68013,0.51412,0.93811,1.18751,0.84627,0.000198775,0.000198775,0.000198775
76,759.312,1.13482,1.36941,0.87703,0.69103,0.5701,0.6795,0.49134,1.02378,1.20795,0.86657,0.000197907,0.000197907,0.000197907
77,768.559,1.12334,1.33687,0.8801,0.66659,0.59994,0.69356,0.45763,1.19611,1.18307,0.89227,0.00019704,0.00019704,0.00019704
78,778.434,1.10955,1.34126,0.87239,0.683,0.58864,0.68265,0.51335,0.94441,1.16105,0.85093,0.000196172,0.000196172,0.000196172
79,786.864,1.11741,1.33858,0.87558,0.6652,0.58228,0.6681,0.44212,1.14732,1.24326,0.91348,0.000195304,0.000195304,0.000195304
80,794.659,1.13624,1.35435,0.87465,0.69459,0.59387,0.69581,0.49346,1.05927,1.18012,0.86815,0.000194436,0.000194436,0.000194436
81,806.088,1.11782,1.31173,0.8749,0.67001,0.61398,0.70148,0.51459,0.9644,1.10943,0.84686,0.000193568,0.000193568,0.000193568
82,811.156,1.10654,1.32589,0.87101,0.70204,0.63832,0.71339,0.52648,0.97433,1.10011,0.85869,0.0001927,0.0001927,0.0001927
83,816.999,1.10673,1.29814,0.8736,0.6984,0.61225,0.70465,0.51872,0.991,1.14893,0.87298,0.000191832,0.000191832,0.000191832
84,828.256,1.09358,1.2874,0.87083,0.6922,0.60437,0.69897,0.50866,1.03656,1.17415,0.87624,0.000190964,0.000190964,0.000190964
85,837.07,1.11404,1.29009,0.87503,0.69069,0.58758,0.6868,0.47527,1.10136,1.23094,0.87542,0.000190096,0.000190096,0.000190096
86,841.586,1.11349,1.28534,0.87374,0.7121,0.60689,0.71633,0.52685,0.97792,1.10084,0.86329,0.000189229,0.000189229,0.000189229
87,856.473,1.11635,1.26707,0.87682,0.6471,0.61645,0.68637,0.50499,0.95841,1.19191,0.84633,0.000188361,0.000188361,0.000188361
88,865.163,1.10558,1.27364,0.87462,0.71896,0.62371,0.73331,0.53564,0.96506,1.05339,0.84676,0.000187493,0.000187493,0.000187493
89,871.216,1.10804,1.27518,0.87015,0.7035,0.6019,0.70864,0.50967,1.02122,1.12662,0.86864,0.000186625,0.000186625,0.000186625
90,884.552,1.08511,1.24422,0.86904,0.70749,0.63709,0.73382,0.52459,1.02527,1.07428,0.8788,0.000185757,0.000185757,0.000185757
91,890.816,1.0863,1.22498,0.86739,0.72524,0.60169,0.71138,0.52678,0.95915,1.13094,0.85455,0.000184889,0.000184889,0.000184889
92,898.274,1.06982,1.23025,0.86397,0.71651,0.64314,0.72958,0.54641,0.93327,1.08183,0.84329,0.000184021,0.000184021,0.000184021
93,906.346,1.06332,1.20306,0.86974,0.6996,0.64474,0.73397,0.51698,1.03132,1.09521,0.87815,0.000183153,0.000183153,0.000183153
94,917.713,1.08379,1.21867,0.86895,0.72563,0.60683,0.72037,0.52017,0.98423,1.11139,0.85803,0.000182285,0.000182285,0.000182285
95,938.797,1.09836,1.25098,0.86745,0.72708,0.62553,0.7341,0.54805,0.94037,1.06196,0.84247,0.000181417,0.000181417,0.000181417
96,956.595,1.08976,1.20467,0.87478,0.72431,0.64815,0.73687,0.55214,0.94826,1.06291,0.85187,0.000180549,0.000180549,0.000180549
97,965.302,1.07952,1.2023,0.86654,0.7429,0.64401,0.74786,0.54304,0.99498,1.05185,0.87392,0.000179682,0.000179682,0.000179682
98,976.654,1.06816,1.17126,0.86992,0.79047,0.62641,0.76158,0.5289,1.08521,1.03566,0.8853,0.000178814,0.000178814,0.000178814
99,987.111,1.0499,1.18063,0.86113,0.76564,0.63623,0.75057,0.55142,0.97396,1.03246,0.86507,0.000177946,0.000177946,0.000177946
100,997.936,1.08098,1.20122,0.86532,0.73228,0.63734,0.74176,0.5588,0.92214,1.04002,0.84823,0.000177078,0.000177078,0.000177078
101,1010.18,1.07563,1.20407,0.86289,0.72722,0.6704,0.7682,0.57462,0.91075,0.99711,0.84565,0.00017621,0.00017621,0.00017621
102,1023.35,1.0744,1.18236,0.86492,0.7502,0.66081,0.76702,0.56713,0.93867,0.99793,0.85585,0.000175342,0.000175342,0.000175342
103,1043.79,1.07365,1.17904,0.86884,0.68437,0.65077,0.72659,0.51392,1.02975,1.11556,0.88794,0.000174474,0.000174474,0.000174474
104,1052.56,1.07141,1.1499,0.87336,0.72526,0.6512,0.75684,0.53238,1.04221,1.03802,0.88854,0.000173606,0.000173606,0.000173606
105,1060.24,1.0715,1.16222,0.86683,0.73603,0.68655,0.77633,0.56789,0.96944,0.99431,0.85926,0.000172738,0.000172738,0.000172738
106,1067.03,1.07415,1.16645,0.86519,0.7305,0.66019,0.75577,0.556,0.94315,1.02363,0.8722,0.000171871,0.000171871,0.000171871
107,1081.67,1.07803,1.1547,0.87449,0.73022,0.65447,0.75558,0.53045,1.04386,1.04306,0.87389,0.000171003,0.000171003,0.000171003
108,1088.33,1.07775,1.16573,0.86506,0.74384,0.66252,0.76302,0.55509,0.98919,1.00835,0.87118,0.000170135,0.000170135,0.000170135
109,1102.63,1.05833,1.14426,0.86688,0.74987,0.68212,0.77213,0.56379,0.96142,0.98612,0.85125,0.000169267,0.000169267,0.000169267
110,1109.29,1.06634,1.13953,0.86845,0.72331,0.69242,0.7704,0.58728,0.86811,0.9714,0.83824,0.000168399,0.000168399,0.000168399
111,1113.93,1.06799,1.16422,0.86327,0.76143,0.65872,0.76447,0.58707,0.85706,0.98814,0.83283,0.000167531,0.000167531,0.000167531
112,1123.39,1.04751,1.15151,0.86018,0.76858,0.65412,0.77394,0.58581,0.90287,0.96975,0.84748,0.000166663,0.000166663,0.000166663
113,1134.49,1.05617,1.1315,0.86191,0.77322,0.66081,0.77701,0.58991,0.90064,0.96954,0.84708,0.000165795,0.000165795,0.000165795
114,1140.79,1.07063,1.13866,0.86898,0.80946,0.63886,0.78002,0.57053,0.99249,0.97936,0.87886,0.000164927,0.000164927,0.000164927
115,1160.41,1.0553,1.1278,0.86056,0.78464,0.69349,0.79197,0.58617,0.95426,0.94695,0.85774,0.000164059,0.000164059,0.000164059
116,1165.8,1.05516,1.13029,0.86803,0.73486,0.707,0.78671,0.58869,0.92541,0.96566,0.85201,0.000163192,0.000163192,0.000163192
117,1181.18,1.06582,1.14515,0.8616,0.74408,0.66494,0.77116,0.58093,0.91327,1.00364,0.84998,0.000162324,0.000162324,0.000162324
118,1189.26,1.03962,1.10815,0.86344,0.7512,0.68238,0.78217,0.58206,0.93433,0.95366,0.84954,0.000161456,0.000161456,0.000161456
119,1203.42,1.03199,1.12859,0.85918,0.74407,0.68718,0.7865,0.58107,0.94976,0.97818,0.84679,0.000160588,0.000160588,0.000160588
120,1220.58,1.04952,1.12708,0.86032,0.78024,0.66604,0.78344,0.58403,0.92084,0.95145,0.84527,0.00015972,0.00015972,0.00015972
121,1230.93,1.06287,1.10534,0.86585,0.7659,0.6795,0.78555,0.57267,0.98675,0.95774,0.87244,0.000158852,0.000158852,0.000158852
122,1234.98,1.03883,1.10377,0.85823,0.76609,0.67499,0.78145,0.58066,0.94011,0.95649,0.85719,0.000157984,0.000157984,0.000157984
123,1240.55,1.03332,1.08753,0.86184,0.81614,0.68973,0.80714,0.61207,0.87582,0.91116,0.8387,0.000157116,0.000157116,0.000157116
124,1252.9,1.04875,1.09569,0.86367,0.77505,0.66395,0.78224,0.59124,0.89756,0.96534,0.84805,0.000156248,0.000156248,0.000156248
125,1265.67,1.05455,1.1142,0.86048,0.79051,0.6574,0.78339,0.58945,0.90107,0.97113,0.84857,0.00015538,0.00015538,0.00015538
126,1275.36,1.02571,1.09146,0.85584,0.76911,0.69325,0.79167,0.59596,0.88435,0.94099,0.84077,0.000154512,0.000154512,0.000154512
127,1284.84,1.03623,1.09338,0.85805,0.7775,0.68966,0.79849,0.604,0.89073,0.9302,0.84417,0.000153645,0.000153645,0.000153645
128,1293.17,1.04056,1.08269,0.86108,0.77248,0.68163,0.78316,0.57594,0.94454,0.97444,0.87266,0.000152777,0.000152777,0.000152777
129,1303.76,1.03652,1.05901,0.86001,0.79291,0.69481,0.80139,0.60424,0.89089,0.90762,0.84587,0.000151909,0.000151909,0.000151909
130,1314.43,1.02981,1.05138,0.86572,0.80624,0.67352,0.79888,0.6039,0.89012,0.92069,0.83903,0.000151041,0.000151041,0.000151041
131,1331.02,1.03433,1.0617,0.86019,0.75965,0.69499,0.80177,0.59969,0.92359,0.91441,0.85079,0.000150173,0.000150173,0.000150173
132,1336.93,1.03993,1.05583,0.8601,0.77993,0.71731,0.81492,0.60819,0.91443,0.89784,0.84431,0.000149305,0.000149305,0.000149305
133,1343.28,1.01884,1.05125,0.86269,0.7533,0.70983,0.80323,0.6212,0.84453,0.91051,0.82945,0.000148437,0.000148437,0.000148437
134,1353.88,1.03381,1.08535,0.85758,0.7685,0.70457,0.79835,0.60901,0.87845,0.92272,0.84155,0.000147569,0.000147569,0.000147569
135,1360.4,1.00769,1.02826,0.85517,0.76515,0.72509,0.81418,0.61225,0.9052,0.89099,0.85238,0.000146701,0.000146701,0.000146701
136,1377.83,1.0368,1.06943,0.85718,0.79464,0.70203,0.81452,0.61264,0.8936,0.88897,0.8401,0.000145834,0.000145834,0.000145834
137,1382.99,1.01865,1.02637,0.85807,0.79331,0.699,0.80729,0.6067,0.88264,0.89561,0.83113,0.000144966,0.000144966,0.000144966
138,1389,1.02651,1.03167,0.8559,0.79343,0.70582,0.80956,0.59418,0.94053,0.89583,0.84784,0.000144098,0.000144098,0.000144098
139,1398.27,1.0147,1.03522,0.85414,0.81879,0.67904,0.8111,0.59127,0.94738,0.90904,0.86092,0.00014323,0.00014323,0.00014323
140,1402.8,1.00642,1.01087,0.86158,0.79862,0.68022,0.80235,0.60268,0.88513,0.92346,0.84189,0.000142362,0.000142362,0.000142362
141,1408.4,1.01737,1.02487,0.85996,0.78715,0.7004,0.81006,0.58892,0.98124,0.92522,0.87021,0.000141494,0.000141494,0.000141494
142,1414.57,1.01613,1.04859,0.85327,0.78568,0.71895,0.81929,0.59599,0.98036,0.89305,0.87036,0.000140626,0.000140626,0.000140626
143,1437.91,0.99607,1.01498,0.85599,0.78962,0.70993,0.8132,0.60763,0.91764,0.89435,0.85041,0.000139758,0.000139758,0.000139758
144,1447.48,1.00443,1.03748,0.85368,0.80637,0.69753,0.80946,0.60407,0.92921,0.90518,0.86362,0.00013889,0.00013889,0.00013889
145,1454.31,1.00863,1.02885,0.85576,0.82064,0.70125,0.81982,0.6145,0.90664,0.87986,0.84638,0.000138022,0.000138022,0.000138022
146,1467.64,1.01283,1.03463,0.85758,0.77942,0.68469,0.80235,0.59751,0.93053,0.92191,0.8544,0.000137154,0.000137154,0.000137154
147,1477.19,1.0362,1.04034,0.86407,0.8058,0.69767,0.81739,0.59155,0.96724,0.88682,0.85883,0.000136287,0.000136287,0.000136287
148,1499.21,0.99752,1.0163,0.85374,0.8124,0.69538,0.81991,0.61876,0.88772,0.87662,0.84174,0.000135419,0.000135419,0.000135419
149,1505.07,1.00143,0.99544,0.8569,0.82015,0.69656,0.82008,0.59518,0.9696,0.8887,0.86586,0.000134551,0.000134551,0.000134551
150,1514.21,1.01431,1.03002,0.85408,0.81518,0.69767,0.81619,0.60724,0.92796,0.89848,0.85831,0.000133683,0.000133683,0.000133683
151,1533.16,1.00808,1.01103,0.85573,0.821,0.6861,0.81413,0.62222,0.87786,0.87099,0.83966,0.000132815,0.000132815,0.000132815
152,1541.59,1.00782,1.00677,0.85426,0.82138,0.68227,0.81021,0.59742,0.94817,0.91015,0.85674,0.000131947,0.000131947,0.000131947
153,1547.33,1.00527,0.97593,0.85685,0.8214,0.71125,0.82348,0.60826,0.93879,0.87032,0.8578,0.000131079,0.000131079,0.000131079
154,1553.33,1.02289,1.02075,0.8536,0.81732,0.71984,0.82266,0.60446,0.93419,0.87364,0.85356,0.000130211,0.000130211,0.000130211
155,1561.02,1.01853,1.0048,0.85759,0.81788,0.70549,0.82392,0.60014,0.95959,0.8703,0.85435,0.000129343,0.000129343,0.000129343
156,1568.5,0.97352,0.97537,0.84885,0.82096,0.71854,0.82424,0.63219,0.84168,0.85106,0.82999,0.000128475,0.000128475,0.000128475
157,1585.63,1.0008,1.00677,0.85417,0.79408,0.72142,0.82796,0.63398,0.86011,0.85427,0.83285,0.000127608,0.000127608,0.000127608
158,1593.58,1.0169,1.02182,0.8531,0.80487,0.71033,0.82011,0.60956,0.91601,0.87586,0.84742,0.00012674,0.00012674,0.00012674
159,1599.22,0.99366,0.98573,0.85384,0.82321,0.70393,0.82583,0.60078,0.97243,0.86637,0.86777,0.000125872,0.000125872,0.000125872
160,1613.94,0.98314,0.97601,0.85298,0.82543,0.70521,0.82857,0.60423,0.96266,0.86738,0.85702,0.000125004,0.000125004,0.000125004
161,1619.7,1.00177,0.99206,0.85796,0.83239,0.71857,0.83092,0.62469,0.91163,0.84285,0.84491,0.000124136,0.000124136,0.000124136
162,1626.94,0.97624,0.96987,0.85155,0.82711,0.71684,0.83131,0.615,0.93553,0.84915,0.86176,0.000123268,0.000123268,0.000123268
163,1634.42,1.01644,0.99544,0.85218,0.80507,0.70654,0.81789,0.59511,0.9692,0.88292,0.87661,0.0001224,0.0001224,0.0001224
164,1647.19,0.99293,0.99087,0.85388,0.83135,0.696,0.82436,0.62208,0.89489,0.86234,0.84405,0.000121532,0.000121532,0.000121532
165,1655.66,0.97435,0.97812,0.85103,0.81962,0.71575,0.83371,0.63183,0.88428,0.84377,0.84803,0.000120664,0.000120664,0.000120664
166,1671.06,0.99164,0.9866,0.85304,0.82882,0.70228,0.8231,0.62635,0.86641,0.86769,0.83955,0.000119796,0.000119796,0.000119796
167,1678.43,0.96111,0.96536,0.84665,0.80391,0.70246,0.82112,0.61774,0.89148,0.87294,0.85136,0.000118929,0.000118929,0.000118929
168,1685.12,0.98937,0.97342,0.85225,0.81018,0.73216,0.83598,0.63501,0.87487,0.83162,0.84411,0.000118061,0.000118061,0.000118061
169,1695.59,0.99413,0.98561,0.85161,0.83159,0.72682,0.83851,0.6371,0.87401,0.8212,0.83769,0.000117193,0.000117193,0.000117193
170,1701.32,0.99342,1.006,0.85171,0.82542,0.7099,0.82529,0.58668,1.01203,0.89029,0.87905,0.000116325,0.000116325,0.000116325
171,1714.12,0.97879,0.95438,0.85268,0.8128,0.74233,0.83328,0.61609,0.93063,0.84477,0.85853,0.000115457,0.000115457,0.000115457
172,1728.26,0.99452,0.99271,0.84994,0.82883,0.72671,0.83851,0.62272,0.9243,0.84157,0.8448,0.000114589,0.000114589,0.000114589
173,1747.55,0.98277,0.95974,0.8556,0.83852,0.70597,0.82937,0.60089,0.97957,0.86869,0.86137,0.000113721,0.000113721,0.000113721
174,1755.66,0.97862,0.95894,0.85142,0.81993,0.7164,0.82831,0.62065,0.91192,0.86175,0.84958,0.000112853,0.000112853,0.000112853
175,1766.74,0.9708,0.94526,0.85218,0.82517,0.7279,0.83984,0.61994,0.92889,0.83681,0.84647,0.000111985,0.000111985,0.000111985
176,1781.52,0.98777,0.97457,0.85175,0.82001,0.71716,0.8323,0.60139,0.9634,0.85932,0.87313,0.000111117,0.000111117,0.000111117
177,1798.29,0.97279,0.96099,0.85121,0.83407,0.72944,0.8359,0.64516,0.83762,0.82608,0.83307,0.00011025,0.00011025,0.00011025
178,1805.52,0.97794,0.96603,0.85209,0.83769,0.72273,0.84317,0.63612,0.89368,0.83098,0.8445,0.000109382,0.000109382,0.000109382
179,1816.46,0.98064,0.95534,0.85312,0.81292,0.73055,0.83741,0.60662,0.96018,0.84852,0.86773,0.000108514,0.000108514,0.000108514
